CPUProcLoad,0.00000000,0.32466148,0.28104921,0.21380636,0.19459933,0.18330815,0.23867390,0.38358312,0.33484290,0.36815126,0.39345780,0.33087774,0.33918465,0.36990639,0.35605498,0.19631448,0.24883472,0.34577743,0.29276938,0.40527525,0.52086785,0.44657017,0.40907882,0.29375610,0.26700000,0.25831126,0.02342036,0.32756774,0.25116169,0.15027756,0.20895614,0.30243599,0.50473458,0.50272499,0.38796345,0.38119104,0.43714723,0.53285571,0.50678354,0.45509133,0.42550986,0.29640818,0.23114135,0.58985720,0.28714080,0.35480693,0.17683759,0.13057798,0.03742401,0.00271534,0.00206943,0.00214597,0.00327825,0.00203365,0.01513392,0.00719075,0.00250401,0.00270525,0.00267420,0.04525354,0.00366414,0.02151569,0.01149116,0.00565181,0.01020953,0.00344383,0.00338244,0.00448706,0.00300621,0.07971588,0.02820523,0.00302861,0.00286773,0.00278893,0.00265890,0.00299968,0.00241501,0.00221160,0.00313013,0.00539308,0.00235389,0.00212702,0.00384817,0.00218888,0.00229259,0.00228480,0.00204157,0.00237306,0.00289719,0.00214486,0.00293460,0.00590785,0.00650938,0.00247446,0.00782796,0.04789002,0.00303753,0.00274302,0.00267984,0.00256262,0.00937079,0.00275832,0.00256488,0.00292199,0.00316593,0.00265957,0.05501912,0.20914328,0.20389082,0.14515824,0.09132530,0.00277380,0.00216512,0.00541403,0.04222526,0.00287474,0.00222934,0.00285888,0.00266138,0.00260075,0.00262075,0.01116373,0.00732516,0.00279050,0.00356523,0.01812699,0.00609756,0.00482164,0.00987225,0.00244173,0.00293837,0.00854464,0.00336372,0.00273015,0.00305439,0.00239399,0.01030474,0.00273491,0.00262559,0.00248273,0.00204297,0.06214218,0.07550581,0.00229406,0.00241056,0.00207250,0.00194489,0.00419463,0.02053192,0.08799319,0.00239103,0.00208232,0.03194165,0.01082142,0.01781372,0.00220690,0.00249489,0.00163978,0.00548938,0.00917241,0.00543844,0.00525219,0.00666795,0.00255734,0.00178932,0.00228671,0.00177361,0.00428700,0.00231062,0.08181494,0.00280179,0.04647405,0.00209959,0.00162931,0.00470668,0.00192545,0.00259056,0.00229882,0.02153100,0.01954906,0.01295643,0.00238582,0.00178870,0.05487145,0.03663245,0.00351973,0.00974568,0.04208062,0.04216896,0.00200240,0.01217921,0.00334842,0.00487529,0.00201765,0.00391722,0.01321449,0.08162206,0.00998942,0.00190030,0.00483040,0.00222539,0.00275164,0.00317938,0.00671053,0.02816576,0.05756243,
RAMCons,0.10923490000000001,0.11762445,0.12601305000000002,0.13440485,0.13440485,0.13440485,0.14279345,0.14279345,0.15119495,0.15958355000000002,0.16797215000000001,0.17636075,0.17636075,0.17636075,0.1847498,0.1847498,0.19313905,0.19313905,0.20152765,0.2099405,0.2099405,0.2183297,0.23510804999999999,0.2434968,0.2602756,0.28545485,0.28545485,0.28545485,0.30223555,0.31901395,0.3274031,0.3357925,0.344183,0.344183,0.3525717,0.36935115,0.36935115,0.37774045,0.3861307,0.3861307,0.3945201,0.4112996,0.41943040000000004,0.054616899999999996,0.0665279,0.074244,0.08196115,0.0913565,0.0913565,0.0913565,0.0913565,0.0913565,0.0913565,0.0913565,0.0913565,0.0913565,0.0913565,0.0913565,0.0913565,0.0913565,0.0913565,0.0913565,0.0913565,0.0913565,0.0913565,0.0913565,0.0913565,0.0913565,0.0913565,0.0913565,0.0913565,0.0913565,0.0913565,0.0913565,0.0913565,0.0913565,0.0913565,0.0913565,0.0913565,0.0913565,0.0913565,0.0913565,0.0913565,0.0913565,0.0913565,0.0913565,0.0913565,0.0913565,0.0913565,0.0913565,0.0913565,0.0913565,0.0913565,0.0913565,0.0913565,0.0913565,0.0913565,0.0913565,0.0913565,0.0913565,0.0913565,0.0913565,0.0913565,0.0913565,0.0913565,0.0913565,0.0990726,0.0990726,0.1067887,0.1067887,0.1145051,0.1145051,0.1145051,0.1145051,0.1145051,0.1145051,0.1145051,0.1145051,0.1145051,0.1145051,0.1145051,0.1145051,0.1145051,0.1145051,0.1145051,0.1145051,0.1145051,0.1145051,0.1145051,0.1145051,0.1145051,0.1145051,0.1145051,0.1145051,0.1145051,0.1145051,0.1145051,0.1145051,0.1145051,0.1145051,0.1145051,0.1145051,0.1145051,0.1145051,0.1145051,0.1145051,0.1145051,0.1145051,0.1145051,0.1145051,0.1145051,0.1145051,0.1145051,0.12222215,0.12222215,0.12222215,0.12222215,0.12222215,0.12222215,0.12222215,0.12222215,0.12222215,0.12222215,0.12222215,0.12222215,0.12222215,0.12222215,0.12222215,0.12222215,0.12222215,0.12222215,0.12222215,0.12222215,0.12222215,0.12222215,0.12222215,0.12222215,0.12222215,0.12222215,0.12222215,0.12222215,0.12222215,0.12222215,0.12222215,0.12222215,0.12222215,0.12222215,0.12222215,0.12222215,0.12222215,0.12222215,0.12222215,0.12222215,0.12222215,0.12222215,0.12222215,0.12222215,0.12222215,0.12222215,0.12222215,0.12222215,0.12222215,0.12222215,0.12222215,0.12222215,0.13480575,
Time(ms),25,36,49,60,72,82,94,106,118,130,142,153,163,174,187,200,211,221,234,245,256,268,278,288,301,312,323,334,347,358,369,380,391,403,414,425,436,447,458,470,480,491,503,515,528,539,549,560,571,581,593,605,615,627,638,649,660,672,683,695,708,720,731,744,754,764,776,787,797,810,821,831,842,853,865,878,890,901,912,925,935,947,957,969,981,992,1004,1015,1026,1039,1049,1061,1072,1084,1097,1109,1120,1131,1142,1153,1164,1175,1188,1199,1210,1222,1235,1248,1259,1269,1284,1295,1307,1318,1328,1339,1352,1362,1373,1383,1395,1405,1415,1426,1436,1447,1457,1468,1479,1489,1500,1510,1521,1531,1542,1555,1566,1576,1587,1597,1609,1622,1634,1646,1656,1667,1678,1688,1701,1711,1723,1734,1744,1755,1767,1778,1788,1800,1812,1824,1835,1847,1857,1870,1882,1894,1906,1919,1930,1941,1951,1961,1974,1987,1998,2010,2021,2031,2043,2055,2066,2077,2089,2101,2111,2123,2133,2144,2155,2165,2177,2188,2200,2212,2224,2234,2245,2257,2268,2281,2292,2304,2315,2325,2336,2347,
Operational Time,2351
